strategy,synthetic_ratio,classifier,metric,mean,std,n
cross_group,50,random_forest,recall,0.3418423749999999,0.010212367307124536,15
cross_group,50,random_forest,f1_score,0.5100266769230769,0.011312160709430204,15
cross_group,50,deep_learning,accuracy,0.94208968,0.003525855862774648,15
cross_group,50,deep_learning,precision,0.9767050066666664,0.014174161982306642,15
cross_group,50,deep_learning,recall,0.3850959,0.03607727437425118,15
cross_group,50,deep_learning,f1_score,0.5536223025965339,0.03691389681804033,15
cross_group,75,svm,accuracy,0.9243696875,0.0010212367307123886,15
cross_group,75,svm,precision,0.9848999999999998,1.1491900087240784e-16,15
cross_group,75,svm,recall,0.20231487499999992,0.01021236730712448,15
cross_group,75,svm,f1_score,0.336689226860254,0.014234297807389513,15
cross_group,75,random_forest,accuracy,0.9515775499999998,0.004084946922849771,15
cross_group,75,random_forest,precision,0.8884891700404858,0.0902564233621,15
cross_group,75,random_forest,recall,0.5581099999999998,0.03682121396970942,15
cross_group,75,random_forest,f1_score,0.68121951338119,0.004523422693132548,15
cross_group,75,deep_learning,accuracy,0.9584143975,0.0068262628780161394,15
cross_group,75,deep_learning,precision,0.9320526721294681,0.05202996666556554,15
cross_group,75,deep_learning,recall,0.58880605,0.06516738756276982,15
cross_group,75,deep_learning,f1_score,0.7199253935360157,0.05043513577490332,15
cross_group,100,svm,accuracy,0.9271602375000003,3.447570026172235e-16,15
cross_group,100,svm,precision,0.9848999999999998,1.1491900087240784e-16,15
cross_group,100,svm,recall,0.23022037499999998,2.872975021810196e-17,15
cross_group,100,svm,f1_score,0.3745958644067795,1.1491900087240784e-16,15
cross_group,100,random_forest,accuracy,0.9508799125,0.007364242793941949,15
cross_group,100,random_forest,precision,0.7986501434538237,0.08406089811569291,15
cross_group,100,random_forest,recall,0.6418264999999997,0.02042473461424891,15
cross_group,100,random_forest,f1_score,0.7093114022856045,0.02833920139240272,15
cross_group,100,deep_learning,accuracy,0.9556238475,0.006318476741650774,15
cross_group,100,deep_learning,precision,0.9229558580920582,0.05769989137864357,15
cross_group,100,deep_learning,recall,0.5706674749999999,0.09000798412637485,15
cross_group,100,deep_learning,f1_score,0.6990735933446455,0.060922015841992104,15
real_fixed_random_synthetic,0,svm,accuracy,0.9425082625000002,0.0010212367307124426,15
real_fixed_random_synthetic,0,svm,precision,0.9848999999999998,1.1491900087240784e-16,15
real_fixed_random_synthetic,0,svm,recall,0.383700625,0.010212367307124482,15
real_fixed_random_synthetic,0,svm,f1_score,0.5552323636363636,0.010641924140938473,15
real_fixed_random_synthetic,0,random_forest,accuracy,0.9592515625,0.0056860054752738125,15
real_fixed_random_synthetic,0,random_forest,precision,0.8899700504032257,0.07874015106565846,15
real_fixed_random_synthetic,0,random_forest,recall,0.6418265000000001,0.04451467706607417,15
real_fixed_random_synthetic,0,random_forest,f1_score,0.7424629170886077,0.028391939591913436,15
real_fixed_random_synthetic,0,deep_learning,accuracy,0.960786365,0.0050321174362880205,15
real_fixed_random_synthetic,0,deep_learning,precision,0.9065715160656077,0.06039817547198765,15
real_fixed_random_synthetic,0,deep_learning,recall,0.6418265000000001,0.0820810088425415,15
real_fixed_random_synthetic,0,deep_learning,f1_score,0.7464493123480017,0.04495482585910155,15
real_fixed_random_synthetic,25,svm,accuracy,0.9355318874999999,0.0,15
real_fixed_random_synthetic,25,svm,precision,0.9848999999999998,1.1491900087240784e-16,15
real_fixed_random_synthetic,25,svm,recall,0.3139368749999999,5.745950043620392e-17,15
real_fixed_random_synthetic,25,svm,f1_score,0.47837999999999975,1.7237850130861175e-16,15
real_fixed_random_synthetic,25,random_forest,accuracy,0.9606468375000001,0.006377621339190221,15
real_fixed_random_synthetic,25,random_forest,precision,0.9368275000000001,0.05892606196539863,15
real_fixed_random_synthetic,25,random_forest,recall,0.6069446249999999,0.035376678082989915,15
real_fixed_random_synthetic,25,random_forest,f1_score,0.7375937721356494,0.037224965285447255,15
real_fixed_random_synthetic,25,deep_learning,accuracy,0.9564610124999999,0.0070753356165980195,15
real_fixed_random_synthetic,25,deep_learning,precision,0.9271412685942289,0.0610397662416836,15
real_fixed_random_synthetic,25,deep_learning,recall,0.5748532999999998,0.07865511997096485,15
real_fixed_random_synthetic,25,deep_learning,f1_score,0.7052230543792075,0.06340307445250654,15
real_fixed_random_synthetic,50,svm,accuracy,0.9250673250000001,3.447570026172235e-16,15
real_fixed_random_synthetic,50,svm,precision,0.9848999999999998,1.1491900087240784e-16,15
real_fixed_random_synthetic,50,svm,recall,0.20929125000000004,5.745950043620392e-17,15
real_fixed_random_synthetic,50,svm,f1_score,0.34641310344827586,0.0,15
real_fixed_random_synthetic,50,random_forest,accuracy,0.9383224375,0.0010212367307124426,15
real_fixed_random_synthetic,50,random_forest,precision,0.9848999999999998,1.1491900087240784e-16,15
real_fixed_random_synthetic,50,random_forest,recall,0.3418423749999999,0.010212367307124536,15
real_fixed_random_synthetic,50,random_forest,f1_score,0.5100266769230769,0.011312160709430204,15
real_fixed_random_synthetic,50,deep_learning,accuracy,0.94208968,0.003525855862774648,15
real_fixed_random_synthetic,50,deep_learning,precision,0.9767050066666664,0.014174161982306642,15
real_fixed_random_synthetic,50,deep_learning,recall,0.3850959,0.03607727437425118,15
real_fixed_random_synthetic,50,deep_learning,f1_score,0.5536223025965339,0.03691389681804033,15
real_fixed_random_synthetic,75,svm,accuracy,0.9243696875,0.0010212367307123886,15
real_fixed_random_synthetic,75,svm,precision,0.9848999999999998,1.1491900087240784e-16,15
real_fixed_random_synthetic,75,svm,recall,0.20231487499999992,0.01021236730712448,15
real_fixed_random_synthetic,75,svm,f1_score,0.336689226860254,0.014234297807389513,15
real_fixed_random_synthetic,75,random_forest,accuracy,0.9515775499999998,0.004084946922849771,15
real_fixed_random_synthetic,75,random_forest,precision,0.8884891700404858,0.0902564233621,15
real_fixed_random_synthetic,75,random_forest,recall,0.5581099999999998,0.03682121396970942,15
real_fixed_random_synthetic,75,random_forest,f1_score,0.68121951338119,0.004523422693132548,15
real_fixed_random_synthetic,75,deep_learning,accuracy,0.9584143975,0.0068262628780161394,15
real_fixed_random_synthetic,75,deep_learning,precision,0.9320526721294681,0.05202996666556554,15
real_fixed_random_synthetic,75,deep_learning,recall,0.58880605,0.06516738756276982,15
real_fixed_random_synthetic,75,deep_learning,f1_score,0.7199253935360157,0.05043513577490332,15
real_fixed_random_synthetic,100,svm,accuracy,0.9271602375000003,3.447570026172235e-16,15
real_fixed_random_synthetic,100,svm,precision,0.9848999999999998,1.1491900087240784e-16,15
real_fixed_random_synthetic,100,svm,recall,0.23022037499999998,2.872975021810196e-17,15
real_fixed_random_synthetic,100,svm,f1_score,0.3745958644067795,1.1491900087240784e-16,15
real_fixed_random_synthetic,100,random_forest,accuracy,0.9508799125,0.007364242793941949,15
real_fixed_random_synthetic,100,random_forest,precision,0.7986501434538237,0.08406089811569291,15
real_fixed_random_synthetic,100,random_forest,recall,0.6418264999999997,0.02042473461424891,15
real_fixed_random_synthetic,100,random_forest,f1_score,0.7093114022856045,0.02833920139240272,15
real_fixed_random_synthetic,100,deep_learning,accuracy,0.9556238475,0.006318476741650774,15
real_fixed_random_synthetic,100,deep_learning,precision,0.9229558580920582,0.05769989137864357,15
real_fixed_random_synthetic,100,deep_learning,recall,0.5706674749999999,0.09000798412637485,15
real_fixed_random_synthetic,100,deep_learning,f1_score,0.6990735933446455,0.060922015841992104,15
full_random,0,svm,accuracy,0.9425082625000002,0.0010212367307124426,15
full_random,0,svm,precision,0.9848999999999998,1.1491900087240784e-16,15
full_random,0,svm,recall,0.383700625,0.010212367307124482,15
full_random,0,svm,f1_score,0.5552323636363636,0.010641924140938473,15
full_random,0,random_forest,accuracy,0.9592515625,0.0056860054752738125,15
full_random,0,random_forest,precision,0.8899700504032257,0.07874015106565846,15
full_random,0,random_forest,recall,0.6418265000000001,0.04451467706607417,15
full_random,0,random_forest,f1_score,0.7424629170886077,0.028391939591913436,15
full_random,0,deep_learning,accuracy,0.960786365,0.0050321174362880205,15
full_random,0,deep_learning,precision,0.9065715160656077,0.06039817547198765,15
full_random,0,deep_learning,recall,0.6418265000000001,0.0820810088425415,15
full_random,0,deep_learning,f1_score,0.7464493123480017,0.04495482585910155,15
full_random,25,svm,accuracy,0.9355318874999999,0.0,15
full_random,25,svm,precision,0.9848999999999998,1.1491900087240784e-16,15
full_random,25,svm,recall,0.3139368749999999,5.745950043620392e-17,15
full_random,25,svm,f1_score,0.47837999999999975,1.7237850130861175e-16,15
full_random,25,random_forest,accuracy,0.9606468375000001,0.006377621339190221,15
full_random,25,random_forest,precision,0.9368275000000001,0.05892606196539863,15
full_random,25,random_forest,recall,0.6069446249999999,0.035376678082989915,15
full_random,25,random_forest,f1_score,0.7375937721356494,0.037224965285447255,15
full_random,25,deep_learning,accuracy,0.9564610124999999,0.0070753356165980195,15
full_random,25,deep_learning,precision,0.9271412685942289,0.0610397662416836,15
full_random,25,deep_learning,recall,0.5748532999999998,0.07865511997096485,15
full_random,25,deep_learning,f1_score,0.7052230543792075,0.06340307445250654,15
full_random,50,svm,accuracy,0.9250673250000001,3.447570026172235e-16,15
full_random,50,svm,precision,0.9848999999999998,1.1491900087240784e-16,15
full_random,50,svm,recall,0.20929125000000004,5.745950043620392e-17,15
full_random,50,svm,f1_score,0.34641310344827586,0.0,15
full_random,50,random_forest,accuracy,0.9383224375,0.0010212367307124426,15
full_random,50,random_forest,precision,0.9848999999999998,1.1491900087240784e-16,15
full_random,50,random_forest,recall,0.3418423749999999,0.010212367307124536,15
full_random,50,random_forest,f1_score,0.5100266769230769,0.011312160709430204,15
full_random,50,deep_learning,accuracy,0.94208968,0.003525855862774648,15
full_random,50,deep_learning,precision,0.9767050066666664,0.014174161982306642,15
full_random,50,deep_learning,recall,0.3850959,0.03607727437425118,15
full_random,50,deep_learning,f1_score,0.5536223025965339,0.03691389681804033,15
full_random,75,svm,accuracy,0.9243696875,0.0010212367307123886,15
full_random,75,svm,precision,0.9848999999999998,1.1491900087240784e-16,15
full_random,75,svm,recall,0.20231487499999992,0.01021236730712448,15
full_random,75,svm,f1_score,0.336689226860254,0.014234297807389513,15
full_random,75,random_forest,accuracy,0.9515775499999998,0.004084946922849771,15
full_random,75,random_forest,precision,0.8884891700404858,0.0902564233621,15
full_random,75,random_forest,recall,0.5581099999999998,0.03682121396970942,15
full_random,75,random_forest,f1_score,0.68121951338119,0.004523422693132548,15
full_random,75,deep_learning,accuracy,0.9584143975,0.0068262628780161394,15
full_random,75,deep_learning,precision,0.9320526721294681,0.05202996666556554,15
full_random,75,deep_learning,recall,0.58880605,0.06516738756276982,15
full_random,75,deep_learning,f1_score,0.7199253935360157,0.05043513577490332,15
full_random,100,svm,accuracy,0.9271602375000003,3.447570026172235e-16,15
full_random,100,svm,precision,0.9848999999999998,1.1491900087240784e-16,15
full_random,100,svm,recall,0.23022037499999998,2.872975021810196e-17,15
full_random,100,svm,f1_score,0.3745958644067795,1.1491900087240784e-16,15
full_random,100,random_forest,accuracy,0.9508799125,0.007364242793941949,15
full_random,100,random_forest,precision,0.7986501434538237,0.08406089811569291,15
full_random,100,random_forest,recall,0.6418264999999997,0.02042473461424891,15
full_random,100,random_forest,f1_score,0.7093114022856045,0.02833920139240272,15
full_random,100,deep_learning,accuracy,0.9556238475,0.006318476741650774,15
full_random,100,deep_learning,precision,0.9229558580920582,0.05769989137864357,15
full_random,100,deep_learning,recall,0.5706674749999999,0.09000798412637485,15
full_random,100,deep_learning,f1_score,0.6990735933446455,0.060922015841992104,15
